### TP FILE - COLORADO/WY/NM/IA
# Name          ID      LAT		LONG		MSL	RWAY	RADIO   ATTR
 IdahoeSpr      ids	39,44.50,N	105,31.00,W	8000	_	_	T 
 Idler       	CO84	39,36.70,N	102,32.70,W	4159	17/35	_	TA 
 Imperial    	IML	40,31.00,N	101,37.10,W	3275	03/21	_	TA 
 Jackson     	CD05	40,11.67,N	102,41.90,W	4075	N/S	_	AV 
 Jamestown    	jmt	40,07.00,N	105,24.00,W	8470	0/0	_	T 
 Jantzen     	46NE	40,53.78,N	101,30.33,W	3375	18/36	_	TA 
 Jeffco      	BJC	39,54.62,N	105,07.25,W	5656	02/20	118.6	TA 
 Julesber    	7V8	40,59.00,N	102,19.18,W	3520	13/31	122.9	TA 
 Kaan        	11NE	42,26.55,N	103,54.98,W	4650	12/30	_	AV 
 Kelgun      	4CO8	39,18.42,N	104,48.95,W	6800	01/19	_	TA 
 Kelly       	CO15	39,13.37,N	104,38.52,W	7051	09/27	123.05	TA 
 Kent        	8CO0	40,15.17,N	104,00.20,W	4480	07/25	_	TA 
 Kimball     	IBM	41,11.50,N	103,40.50,W	4925	10/28	122.8	TA 
 KitCarso    	ITR	39,14.68,N	102,17.08,W	4216	15/33	122.8	TA 
 Kostrosk    	43CO	39,22.00,N	104,40.70,W	6700	10/28	_	TA 
 KugelStr    	27V	40,12.75,N	104,44.67,W	4950	13/31	_	AV 
 LaJunta     	LHX	38,03.58,N	103,31.38,W	4239	08/26	123.0	TA 
 LaMesaPr    	NM67	36,51.50,N	104,28.00,W	6578	16/34	122.8	TA 
 LakeCree    	92CO	38,17.80,N	105,36.50,W	7200	03/21	_	TA 
 LaKeHati    	LHT	41,16.00,N	106,00.00,W	9000	_	_	T 
 Lamar       	LAA	38,04.22,N	102,42.13,W	3704	08/26	122.8	TA 
 Land        	CO82	40,05.75,N	104,35.37,W	5000	17/35	_	AV 
 Laramie     	LAR	41,18.75,N	105,40.47,W	7277	03/21	122.95	TA 
 LarPeak     	LAP	42,15.00,N	105,25.00,W	10500	-	-	- 
 Larrabee    	NE08	40,32.87,N	101,58.70,W	3500	17/35	_	AV 
 LasVegas    	LVS	35,39.25,N	105,08.55,W	6874	02/20	123.0	TA 
 LasVegasT    	LVT	35,36.00,N	105,13.00,W	6874	_	_	T 
 Leach       	1V8	37,47.28,N	106,03.03,W	7598	12/30	_	TA 
 Leadville    	lxv	39,13.20,N	106,18.90,W	9927	_	_	TA 
 Lemons      	CO10	39,59.75,N	105,13.20,W	5230	N/S	_	TL 
 LeynersH    	13CO	40,02.78,N	105,06.73,W	5050	N/S	_	AV 
 Liberal     	LBL	37,02.65,N	100,57.60,W	2883	03/21	_	AV 
 Limon       	LIC	39,16.37,N	103,39.98,W	5364	16/34	122.9	TA 
 Lisbon       	LIS	38,46.52,N	  9,8.10,W	 374	_	_	TA 
 LoneTree    	35CO	38,48.00,N	103,52.00,W	5450	08/26	_	AV 
 Longmont    	2V2	40,09.75,N	105,09.83,W	5056	11/29	122.975	TA 
 London      	LHR	51,30.00,N	0,00.00,W	100	_	_	TA 
 LongsPea    	lpk	40,15.00,N	105,35.00,W	14250	_	_	T 
 LosAlamo    	LAM	35,55.00,N	106,17.00,W	7172	09/27	123.0	TA 
 Lubbock     	F82	33,29.13,N	101,48.75,W	3200	17/35	122.8	TA 
 Lucas       	SN25	37,25.12,N	101,33.50,W	3172	17/35	_	TA
 Kremmling     	20V	40,03.22,N	106,22.13,W	7411	03/21	122.8	TA 
